date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:32	10488/10488	---M--	200	added ('OK')	text/html	etag:%220-28f8-645bed54%22	http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/Main_Page_0.html	(from )
15:41:32	179/179	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20May%202023%2019:41:32%20GMT	http://10.151.34.32:89/robots.txt		(from )
15:41:33	393/393	---M--	200	added ('OK')	text/html	etag:%220-189-645bed59%22	http://10.151.34.32:89/LLDS_July_2021/Picture/BH12T_3.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/BH12T_3.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html)
15:41:33	393/393	---M--	200	added ('OK')	text/html	etag:%220-189-645bed59%22	http://10.151.34.32:89/LLDS_July_2021/Picture/BH12B_2.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/BH12B_2.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html)
15:41:33	392/392	---M--	200	added ('OK')	text/html	etag:%220-188-645bed5a%22	http://10.151.34.32:89/LLDS_July_2021/Picture/BH13_4.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/BH13_4.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html)
15:41:33	393/393	---M--	200	added ('OK')	text/html	etag:%220-189-645bed5b%22	http://10.151.34.32:89/LLDS_July_2021/Picture/BH14T_6.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/BH14T_6.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html)
15:41:34	393/393	---M--	200	added ('OK')	text/html	etag:%220-189-645bed5a%22	http://10.151.34.32:89/LLDS_July_2021/Picture/BH14B_5.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/BH14B_5.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html)
15:41:34	392/392	---M--	200	added ('OK')	text/html	etag:%220-188-645bed5b%22	http://10.151.34.32:89/LLDS_July_2021/Picture/BH15_7.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/BH15_7.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html)
15:41:34	393/393	---M--	200	added ('OK')	text/html	etag:%220-189-645bed66%22	http://10.151.34.32:89/LLDS_July_2021/Picture/BH16T_9.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/BH16T_9.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html)
15:41:34	394/394	---M--	200	added ('OK')	text/html	etag:%220-18a-645bed66%22	http://10.151.34.32:89/LLDS_July_2021/Picture/BH17B_10.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/BH17B_10.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Main_Page_0.html)
